S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
80,2017-2018,Karnataka,094630201,ANIMAL CARE TRUST,1ST FLOOR ALBUQUERQUE CHAMBERS PANDESHWARMANGALORE575001,174585.50
81,2017-2018,Karnataka,094421176,ANISHA Trust,No.498 Errappa Line Nanja Reddy ColonyMurugesh PalyaVimanapura POBangalore Karnataka-560017,3230001.00
82,2017-2018,Karnataka,094590067,Anjali Ashram,Chamundi Hill Road MysoreKarnataka-570011,0.00
83,2017-2018,Karnataka,094440119,ANJUMAN E ISLAM,OPP  DIST COURT VENGURLA ROADBELGAUM590016,0.00
84,2017-2018,Karnataka,094600033,Anjuman Hami-e-muslimeen,Main Road Bhatkal Uttar KannaraKarnataka.-,0.00
85,2017-2018,Karnataka,094421387,ANNAPOORNA CHARITABLE TRUST,NO.13 MICO LAYOUT ATTIGUPPE VIJAYANAGARBANGALORE560040,396400.00
86,2017-2018,Karnataka,094421277,Annapoorneshwari Anathasssrama Trust,3411B Cross MalleswaramBangalore560003,0.00
87,2017-2018,Karnataka,094400020,Annapurna Association,Chintamani Nagar Guttur Post Harihar DavangereKarnataka-577601,0.00
88,2017-2018,Karnataka,094450032,Annavarjula Subramanyam Memorial Trust,5-B Krishnamachari Road BELLARYKarnataka-583101,31985.00
89,2017-2018,Karnataka,094570140,Antharaganga Vidya Samsthe,No.1442 Pc Extension Kolar Town Kolar Karnataka-563101,0.00
90,2017-2018,Karnataka,094510269,ANURAADH,KANJITHANDA HOUSE F M C ROADVIRAJPET571218,0.00
91,2017-2018,Karnataka,094420984,Anurenjana Kendra,La Salette Sadhan Kammasandra Electronics City P.O. PB No. 10017560100,8999871.00
92,2017-2018,Karnataka,094570185,Apostolic Full Gospel Ministries,No.663 Gold Field Hills Near Dr. Ambedkar High School Coromandal POKolar Karnataka-563118,0.00
93,2017-2018,Karnataka,094420134,Archdiocese of Bangalore,Archbishop's House75Miller's Road Bangalore Karnataka. -560046,6346974.00
94,2017-2018,Karnataka,094470049,Arihant Charitable Trust R,Opp I B Quarters Main Road MuddebihalBijapur586212,0.00
95,2017-2018,Karnataka,094590230,ARIVU EDUCATION AND CULTURAL TRUST,"TRUST: NO.M-165 E and F Block
Ramakrishna Nagar.
SCHOOL: Arivu Vidya Samsthe
NO.89/4 Lingambudhi Palya Shrirampura Post Mysuru-08
Mysuru570022",9056.00
96,2017-2018,Karnataka,094421619,ART AND PHOTOGRAPHY FOUNDATION,No-3/1/1 Poddar Niket Ali Askar RoadBangalore560052,0.00
97,2017-2018,Karnataka,094421046,Arulsamy Education Trust,No.Lourdes English School Campus Ring RoadBank Avenue Baby SabuPalya Bangalore Karnataka-560043,0.00
98,2017-2018,Karnataka,094450013,Arunodaya  Poirada,Papinayakana Halli Hospet Taluk BellaryKarnataka.-583223,685097.00
99,2017-2018,Karnataka,094421656,Arunodaya Integrated Community Development Society,1  1      1st main Road    Marenahalli   Vijayanagar  Bangalore     560040vijayanagar560040,0.00
100,2017-2018,Karnataka,094420722,Asare (Rural Women's Voluntary Organisations),Kumbara Colony  Harohally Bangalore Karnataka-562112,3235678.00
101,2017-2018,Karnataka,094421487,ASHA CHARITABLE TRUST,ARCHBISHOP S HOUSE NO 75 MILLERS ROAD BENSON TOWNBANGALORE560046,11869521.00
102,2017-2018,Karnataka,094420784,Asha Foundation,No.42 4th Main SBM Colony Anand Nagar Hebbal Bangalore 560 024Bangalore560024,3675965.57
103,2017-2018,Karnataka,094420745,Asha Kiran Trust,No 14-24 ESTHER GARDEN JAYANTHI NAGAR HORAMAVUBANGALORE560016,1079927.00
104,2017-2018,Karnataka,094590168,Asha Kirana Charitable Trust,CA 1 Ring Road Hebbal Industrial RoadMysore570016,1267496.00
105,2017-2018,Karnataka,094570099,Asha Kirana Education and Rehabilitation Society, SidlaghattaKolar karnataka-562105,0.00
106,2017-2018,Karnataka,094600085,ASHAKIRAN TRUST REGD,HALADAKATTASIDDAPUR581355,2436861.00
107,2017-2018,Karnataka,094420855,Ashakirana Seva Trust,No.730 4th Main Kengiri Satellite Town Bangalore Karnataka.-560060,0.00
108,2017-2018,Karnataka,094421575,ASHALAYA,katherine Niwas   Chikkajala Village    Jala Hobli   Vidyanagar PostBangalore560077,1700363.55
109,2017-2018,Karnataka,094590200,Ashodaya Samithi,# 1496/CH-4/1 Dr. Ambedkar Road KrishnamurthypuramMysore570004,20180607.70
110,2017-2018,Karnataka,094420739,Ashoka Trust for Research in Ecology and Environment,Royal Enclave SrirampuraJakkur Post560064,64833284.00
111,2017-2018,Karnataka,094421655,Ashraya Charitable Trust,Shop No.F1 Petra Complex  No. 1/2 Kothanur BangaloreBangalore560077,0.00
112,2017-2018,Karnataka,094420863,Ashraya Social Welfare and Rehabilitation Centre,No.2 2nd Cross Ganesha Block Dinnur Main Road RT NagarBangalore Karnataka-560032,5799782.00
113,2017-2018,Karnataka,094490013,Ashraya Society for Education & Rural Development,B.G Kere  Chitradurga Karnataka-577527,0.00
114,2017-2018,Karnataka,094421443,ASHRAYA TRUST,NO 388 CHOWRAPPA LAYOUT MARIYANAPALYA H A FARM POSTBANGALORE560024,3653757.00
115,2017-2018,Karnataka,094421447,ASHWINI CHARITABLE TRUST,No. Saint Johns Road Cross Ulsoor Bangalore - 560042BANGALORE560042,1284861.83
116,2017-2018,Karnataka,094421093,Asian Centre for entrepreneurial Initiatives,132 1st floor17th Cross11th Main RoadMalleswaram BangaloreKarnataka-560055,0.00
117,2017-2018,Karnataka,094420311,Asian Christian Academy Of India,C/o Bangalore Bible Church No. 369/E Agara Main RoadHoramavu Agara Village Horamavu (P.O)560043,41707780.00
118,2017-2018,Karnataka,094421301,ASIAN WOMEN AND CHILDRENS FOUNDATION TRUST,NO. 17 HARRIS ROAD BENSON TOWNBANGALORE560046,2837487.95
119,2017-2018,Karnataka,094420238,Asirvanam Benedictine Society,Kumbalgud  BangaloreKarnataka.-560074,901049.00
120,2017-2018,Karnataka,094590070,Assisi Seva Nilaya Leprosy Dispensary,V. Chatra Chamaraja Nagar Mysore Karnataka-571147,669971.00
121,2017-2018,Karnataka,094420909,Association For Community Care Education And Social Services,10 New Chelekere ExtensionKalyan Nagar Post560043,582974.56
122,2017-2018,Karnataka,094610017,Association For Rehabilitation of the Disabled,PB 24 Gangavathi Kopal Karnataka-583227,391414.12
123,2017-2018,Karnataka,094421332,Association for Social Health in India Karnataka,Abhayashrama 4th Cross Wilson GardenBangalore560027,115078.00
124,2017-2018,Karnataka,094420515,Association for the Mentally  Challenged,Near Kidwai Cancer Hospital Off: Hosur Road BangaloreKarnataka.-560029,1568535.22
125,2017-2018,Karnataka,094590174,Association for the Welfare of the Mentally Disabled,No.9 8th Cross Udayagiri MysoreKarnataka-570019,723766.00
126,2017-2018,Karnataka,094420076,Association For Voluntary Action & Service,30/65 1st Floor II Main Ganganagar Bengaluru 560032Bengaluru560032,0.00
127,2017-2018,Karnataka,094421445,ASSOCIATION OF BIOTECHNOLOGY LED ENTERPRISES(ABLE),123/C 16th Main Road5th Cross4th Block KoramangalaBangalore560034,3567580.00
128,2017-2018,Karnataka,094420553,Association Of Women Enterpreneurs,B-76'ksside Industerial Estate RajajinagarBangalore Karnataka.-560044,0.00
129,2017-2018,Karnataka,094421360,ATHANI CHARITABLE TRUST,86/1 Nandidurg Road Benson TownBangalore560046,0.00
130,2017-2018,Karnataka,094420757,Atma Darshan Yogashram,Dayanandasagar College Road Kumaraswamy Layout Next to Tele-phone Exchange Bangalore Karnataka-560078,238392.00
131,2017-2018,Karnataka,094421450,ATRIMED HEALTHCARE FOUNDATION,"Atrimed Healthcare Foundation
755 3rd Cross 11th Block 
2nd Stage Nagarabhavi Bengaluru.
Karnataka
India - 560072Bengaluru560072",0.00
132,2017-2018,Karnataka,094421201,August Foundation,1655th Main 4th CrossDefence Colony IndiranagarBangaloreKarnataka-560038,0.00
133,2017-2018,Karnataka,094420913,Auxilium Navajeevana Society,Salesian  Sisters 257 Champakpet 1st main BangaloreKarnataka-560018,29372474.00
134,2017-2018,Karnataka,094640101,AVISHKAR,"No 11
SAPTAGIRINILAYA
Near TUDA Office
AdarshnagarTUMKUR572103",0.00
135,2017-2018,Karnataka,094421582,AYURVEDA ACADEMY REGD,229-1  4TH MAIN  2ND CROSS  CHAMARAJPETBANGALORE560018,0.00
