S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
161,2010-2011,Gujarat,042090018,Catholic Church,Nana Kanthara  P.O. Lusadia Dist: SabarkanthaGujarat-383251,1489462.00
162,2010-2011,Gujarat,042090064,Catholic Church,Meghraj Dist. SabarkanthaGujarat-383350,1818551.00
163,2010-2011,Gujarat,042090072,Catholic Church,Mankroda Bhiloda  District- Sabarkantha Gujarat-383245,2077288.00
164,2010-2011,Gujarat,042100006,Catholic Church,Dutch Road Nanpura Surat Gujarat-395001,552000.00
165,2010-2011,Gujarat,042090073,Catholic Church   Vijaynagar, VIJAYANAGARSABARKANTHA -383460,0.00
166,2010-2011,Gujarat,042070009,Catholic Church  - Muvalia, DOHADPANCHMAHALS -389151,2618400.00
167,2010-2011,Gujarat,041910025,Catholic Church  Ahmedbad,Cathol Church  MIRZAPURAHMEDABAD Gujarat-380001,0.00
168,2010-2011,Gujarat,042100062,Catholic Church  Mandal,Mandal Po.- Kikakui  Via - VyaraDistrict - Surat-394650,2796728.00
169,2010-2011,Gujarat,042100004,Catholic Church  Trust - Vyara,Adivasi Pragati Kendra Opp. Rly Station P.B. No.-64SURAT  VYARA-394650,582522.00
170,2010-2011,Gujarat,042040006,Catholic Church - Amod,AMOD PETLADANAND -388160,625794.00
171,2010-2011,Gujarat,042040030,Catholic Church - Anand,Near Saint Xavier's School Gamdi- ANANDGujarat -388001,5365514.00
172,2010-2011,Gujarat,041960004,Catholic Church - Ankleshwar, ANKLESHWARBHARUCH -393010,9869566.00
173,2010-2011,Gujarat,042040057,Catholic Church - Balasinor, BALASINORKAIRA   -388255,0.00
174,2010-2011,Gujarat,041910156,Catholic Church - Bavla,C/o Catholic Ashram  P.O. Box No- 10 SanandDist- Ahmedabad-382110,562223.00
175,2010-2011,Gujarat,042040027,Catholic Church - Bochasan,Post - Bochasan Tal- BorsadDistrict- ANAND Gujarat-388140,323975.00
176,2010-2011,Gujarat,041950001,Catholic Church - Deesa,P.B.NO.1 DEESABANASKANTHA -385535,522948.00
177,2010-2011,Gujarat,042070002,Catholic Church - Devtaludi, DevtaludiGodhra -389001,0.00
178,2010-2011,Gujarat,041910029,Catholic Church - Dhandhuka, DHANDHUKAAHMEDABAD -382460,4643661.00
179,2010-2011,Gujarat,042000006,Catholic Church - Fulwadi,BHENDSARA DHARAMPURVALSAD -396050,3583314.00
180,2010-2011,Gujarat,041910085,Catholic Church - Gandhinagar,Sector 8 GandhinagarGujarat-382008,160216.00
181,2010-2011,Gujarat,042040082,Catholic Church - Jesus Nagar, JESUS NAGARANAND   -388001,1090704.00
182,2010-2011,Gujarat,041990001,Catholic Church - Jhagadia, JHAGADIABHARUCH -393110,42250.00
183,2010-2011,Gujarat,042070011,Catholic Church - Jhalod,Post Box-31 JhalodGujarat-389170,10225254.00
184,2010-2011,Gujarat,042040026,Catholic Church - Karamsad, KaramsadKheda-388325,728327.00
185,2010-2011,Gujarat,042040077,Catholic Church - Kathlal,Holy Cross Church KathlalKheda -387630,120087.00
186,2010-2011,Gujarat,041910015,Catholic Church - Koth,At Post : Koth - Gangad Dist : AhmedabadGujarat -382240,88608.00
187,2010-2011,Gujarat,042040038,Catholic Church - Matar,Dist. Kheda Gujarat -387530,493862.00
188,2010-2011,Gujarat,042040036,Catholic Church - Mehmedabad,SEVADAL ROAD  MEHMEDABADKHEDA  GUJARAT-387130,50578.00
189,2010-2011,Gujarat,042040076,Catholic Church - Pallaya,PALLAIYA NADIAD (TA) PALLAYA  -387330,231960.00
190,2010-2011,Gujarat,042090017,Catholic Church - Panpur,Himmat Nagar SabarkanthaGujarat-383001,2138416.00
191,2010-2011,Gujarat,042060002,Catholic Church - Patan,Post Box- 3 PATANMEHSANA -384002,790977.00
192,2010-2011,Gujarat,042040012,Catholic Church - Petlad, MARIAMPURAANAND -388450,65145.00
193,2010-2011,Gujarat,042000029,Catholic Church - Pimpri,Pimpri Dangs Gujarat -394715,473480.00
194,2010-2011,Gujarat,041990017,Catholic Church - Sagbara,District- Narmada  Gujarat -393050,1192217.00
195,2010-2011,Gujarat,042040013,Catholic Church - Umreth,Umreth Distt. KhedaGujarat-388220,0.00
196,2010-2011,Gujarat,042000008,Catholic Church - Unai,Jivan Jyot Unai Dt. ValsadGujarat-396590,850767.00
197,2010-2011,Gujarat,042040015,Catholic Church - Vadtal,P.B. 14 VADTALKHEDA -387375,384666.00
198,2010-2011,Gujarat,042000043,Catholic Church - VAPI,Koparli Road VAPI - Gujarat -396191,15000.00
199,2010-2011,Gujarat,041910153,Catholic Church - Vatva, VATVAAHMEDABAD -382445,115000.00
200,2010-2011,Gujarat,042100013,Catholic Church - Zankhav, ZANKHVAVSURAT 394 440-,2112000.00
