S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
106,2018-2019,Tamil Nadu,075850089,Coimbatore Christian Charitable Trust,Tatabad Coimbatore   -,0.00
107,2018-2019,Tamil Nadu,075850021,Coimbatore Diocese Society,Bishop's House Big Bazaar Steet Post Box 6Coimbatore-,0.00
108,2018-2019,Tamil Nadu,075850240,COMMUNITY AWARENESS RESEARCH EDUCATION (CARE) TRUST,No.18 PRS PANDIAN COMPLEX 328 7th STREET GANDHIPURAMCOIMBATORE641012,26504024.71
109,2018-2019,Tamil Nadu,076080145,Community Development Programme Centre,2/61 Arputha Matha Nagar KilnathurTiruvannamalai606602,0.00
110,2018-2019,Tamil Nadu,076080043,Community Organisation For Rural Development (cord),Lig.538.tnhb. Thamarai Nagar TiruvannamalaiTamil Nadu-606601,0.00
111,2018-2019,Tamil Nadu,075820333,CompassionActionMission charitable Trust,Door No.3 4th StreetKrishna Nagar Tambaram ChennaiKancheepuram Tamilnadu-600045,2090338.00
112,2018-2019,Tamil Nadu,075900210,Damien Foundation India Trust,Spur Tank Road ChennaiTamil Nadu-600031,106898369.00
113,2018-2019,Tamil Nadu,075820213,Dazzling Stone Home For Children,42 Eswaran Koil Street PorurChennai-,574149.00
114,2018-2019,Tamil Nadu,076030287,Deepam,398Azad St.Manakavalmpillai nagar Palayamkottai TirunelveliTamilnadu-627002,0.00
115,2018-2019,Tamil Nadu,076080031,Deepam Trust,1/5 Ammankoil Street Kilchirupakkam ChengamTiruvannamalai District (t.n.)-606707,0.00
116,2018-2019,Tamil Nadu,075820389,DEMOCRATIC EDUCATION TRUST,No.234 Periyar nagar Keerapackam VillageDesumughipet PostThirukkalikundram603109,1210372.00
117,2018-2019,Tamil Nadu,076080037,Destitute People's Development Society,117/c Murugan Koil Street ThenimalaiTiruvannamalai (tamil Nadu)-606603,0.00
118,2018-2019,Tamil Nadu,076030220,Development Association For Needly Elevation,No- 30 Navakkarai Street  Navakkarai StreetTiruvannamalai   Sambuvaryar-606601,233935.00
